ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
1	1	1060436363	0.003812	0.003812
2	1	1060439650	0.005391	0.001579
3	1	1060446690	0.000083	0.005308
4	1	1060449588	0.025766	0.025683
5	1	1060459784	0.000775	0.024991
6	1	1060464188	0.031500	0.030725
7	1	1060465648	0.000816	0.030684
8	1	1060474408	0.000014	0.000802
9	1	1060475868	0.000770	0.000756
10	1	1060484060	0.003009	0.002239
11	1	1060486088	0.027763	0.024754
12	1	1060487548	0.000817	0.026946
13	1	1060496308	0.000804	0.000013
14	1	1060506492	0.000756	0.000048
15	1	1060509448	0.031457	0.030701
16	1	1060519668	0.000012	0.031445
17	1	1060521128	0.000773	0.000761
18	1	1060526932	0.004790	0.004017
19	1	1060529828	0.000020	0.004770
20	1	1060539964	0.001630	0.001610
21	1	1060550280	0.000009	0.001621
22	1	1060557520	0.004379	0.004370
23	1	1060559088	0.031558	0.027179
24	1	1060567848	0.000012	0.031546
25	1	1060577488	0.000008	0.000004
26	1	1060584504	0.005417	0.005409
27	1	1060586828	0.009643	0.004226
28	1	1060588288	0.002895	0.006748
29	1	1060599684	0.000007	0.002888
30	1	1060611340	0.000009	0.000002
31	1	1060613108	0.013190	0.013181
32	1	1060614568	0.000855	0.012335
33	1	1060621868	0.000754	0.000101
34	1	1060624443	0.004148	0.003394
35	1	1060624920	0.004404	0.000256
36	1	1060626755	0.000770	0.003634
37	1	1060635443	0.000766	0.000004
38	1	1060643139	0.000678	0.000088
39	1	1060651827	0.000756	0.000078
40	1	1060660965	0.000628	0.000128
41	1	1060663613	0.013691	0.013063
42	1	1060665073	0.000768	0.012923
43	1	1060670889	0.000740	0.000028
44	1	1060679081	0.000742	0.000002
45	1	1060683177	0.000739	0.000003
46	1	1060705953	0.011594	0.010855
47	1	1060710309	0.000741	0.010853
48	1	1060719093	0.000709	0.000032
49	1	1060727829	0.002720	0.002011
50	1	1060737965	0.000740	0.001980
51	1	1060746653	0.000740	0.000000
52	1	1060755341	0.000738	0.000002
53	1	1060761133	0.000756	0.000018
54	1	1060762881	0.000764	0.000008
55	1	1060771369	0.000757	0.000007
56	1	1060781565	0.000755	0.000002
57	1	1060788557	0.002258	0.001503
58	1	1060791453	0.000759	0.001499
59	1	1060800141	0.000755	0.000004
60	1	1060813001	0.005910	0.005155
61	2	2002981389	0.024336	0.024336
62	2	2002981664	0.024329	0.000007
63	3	1089549164	0.008761	0.008761
64	3	1089561484	0.000800	0.007961
65	3	1089566553	0.014879	0.014079
66	3	1089576236	0.000008	0.014871
67	3	1089588512	0.000006	0.000002
68	3	1089589960	0.001143	0.001137
69	3	1089601380	0.008113	0.006970
70	3	1089603379	0.008926	0.000813
71	3	1089604099	0.009878	0.000952
72	3	1089614022	0.000758	0.009120
73	3	1089616422	0.000771	0.000013
74	3	1089623722	0.000741	0.000030
75	3	1089632482	0.000748	0.000007
76	3	1089645598	0.000755	0.000007
77	3	1089651438	0.000774	0.000019
78	3	1089663753	0.009218	0.008444
79	3	1089665213	0.000050	0.009168
80	3	1089673538	0.009751	0.009701
81	4	3385494186	0.009712	0.009712
82	4	3385499814	0.000839	0.008873
83	4	3385500158	0.008459	0.007620
84	4	3385516613	0.000005	0.008454
85	4	3385526501	0.000744	0.000739
86	4	3385536745	0.001089	0.000345
87	4	3385543985	0.001221	0.000132
88	4	3385551225	0.000856	0.000365
89	4	3385562058	0.009366	0.008510
90	4	3385570321	0.000007	0.009359
91	4	3385571769	0.000761	0.000754
92	4	3385578513	0.000539	0.000222
93	4	3385588153	0.001120	0.000581
94	4	3385596841	0.000005	0.001115
95	4	3385609413	0.000757	0.000752
96	4	3385616773	0.000754	0.000003
97	4	3385619669	0.003423	0.002669
98	4	3385628357	0.001859	0.001564
99	4	3385642837	0.000044	0.001815
100	4	3385651525	0.001298	0.001254
101	4	3385661661	0.000741	0.000557
102	4	3385667821	0.001960	0.001219
103	5	2504460708	0.010542	0.010542
104	5	2504466337	0.001729	0.008813
105	5	2504467797	0.000759	0.000970
106	5	2504476404	0.010501	0.009742
107	5	2504480572	0.001015	0.009486
108	5	2504490224	0.000005	0.001010
109	5	2504491672	0.000999	0.000994
110	5	2504504752	0.000011	0.000988
111	5	2504506200	0.000528	0.000517
112	5	2504511992	0.007528	0.007000
113	5	2504584392	0.000679	0.006849
114	5	2504587288	0.005964	0.005285
115	5	2504594528	0.009165	0.003201
116	5	2504597116	0.013148	0.003983
117	5	2504601284	0.000121	0.013027
118	5	2504607076	0.000005	0.000116
119	5	2504609476	0.000700	0.000695
120	5	2504619624	0.001362	0.000662
121	5	2504626864	0.001904	0.000542
122	5	2504629760	0.000774	0.001130
123	5	2504638814	0.010175	0.009401
124	5	2504640274	0.000780	0.009395
125	5	2504642982	0.000759	0.000021
126	5	2504645690	0.008832	0.008073
127	5	2504649858	0.000742	0.008090
128	5	2504655674	0.000746	0.000004
129	5	2504662666	0.000756	0.000010
130	6	1147807980	0.011459	0.011459
131	6	1147817651	0.000006	0.011453
132	6	1147821995	0.000450	0.000444
133	6	1147825978	0.014188	0.013738
134	6	1147828805	0.017909	0.003721
135	6	1147843285	0.000009	0.017900
136	6	1147857197	0.000015	0.000006
137	6	1147866341	0.000447	0.000432
138	6	1147868296	0.005029	0.004582
139	7	3323793750	0.006924	0.006924
140	7	3323794432	0.009393	0.002469
141	7	3323801470	0.000848	0.008545
142	7	3323812310	0.000788	0.000060
143	8	1682996329	0.025847	0.025847
144	9	2128401834	0.005566	0.005566
145	9	2128409293	0.007982	0.002416
146	10	1085614287	0.031464	0.031464
147	11	3436255280	0.010550	0.010550
148	11	3436258799	0.018279	0.007729
149	11	3436265069	0.004224	0.014055
150	12	2155808285	0.006893	0.006893
151	12	2155815344	0.000742	0.006151
152	12	2155822243	0.006259	0.005517
153	12	2155825139	0.000802	0.005457
154	13	558421201	0.008388	0.008388
155	13	558431123	0.000932	0.007456
156	13	558437603	0.011994	0.011062
157	14	1370657455	0.023535	0.023535
158	15	2440235346	0.007647	0.007647
159	15	2440238929	0.248162	0.240515
160	16	2652763760	0.001255	0.001255
161	16	2652769843	0.000886	0.000369
162	16	2652777143	0.000766	0.000120
163	16	2652780063	0.000781	0.000015
164	16	2652797583	0.000760	0.000021
165	16	2652816563	0.001307	0.000547
166	16	2652829703	0.000756	0.000551
167	16	2652842843	0.000016	0.000740
168	16	2652847223	0.000757	0.000741
169	16	2652853063	0.000758	0.000001
170	16	2652855983	0.000760	0.000002
171	16	2652863283	0.000752	0.000008
172	16	2652882263	0.000811	0.000059
173	16	2652892483	0.000757	0.000054
174	16	2652901243	0.001858	0.001101
175	16	2652915843	0.000012	0.001846
176	16	2652923143	0.004092	0.004080
177	16	2652952343	0.000009	0.004083
178	16	2652966943	0.000008	0.000001
179	16	2652975703	0.000707	0.000699
180	16	2652984463	0.000768	0.000061
181	16	2652991763	0.000768	0.000000
182	16	2653001983	0.002259	0.001491
183	16	2653016583	0.000010	0.002249
184	16	2653029723	0.001506	0.001496
185	16	2653044323	0.000007	0.001499
186	16	2653048703	0.002125	0.002118
187	16	2653060383	0.002657	0.000532
188	16	2653069143	0.000010	0.002647
189	16	2653070603	0.000680	0.000670
190	16	2653088123	0.002523	0.001843
191	16	2653102723	0.000010	0.002513
192	16	2653111483	0.000687	0.000677
193	16	2653120243	0.000756	0.000069
194	16	2653129003	0.000769	0.000013
195	16	2653137763	0.000771	0.000002
196	16	2653147983	0.004946	0.004175
197	16	2653158203	0.001032	0.003914
198	16	2653171343	0.000737	0.000295
199	16	2653187403	0.000750	0.000013
200	16	2653197623	0.000742	0.000008
201	16	2653207843	0.000722	0.000020
202	16	2653216603	0.000757	0.000035
203	16	2653220983	0.000916	0.000159
204	16	2653232663	0.000725	0.000191
205	16	2653241423	0.000741	0.000016
206	16	2653260403	0.000755	0.000014
207	16	2653270623	0.000915	0.000160
208	16	2653280843	0.000757	0.000158
209	16	2653288143	0.000864	0.000107
210	16	2653296903	0.000760	0.000104
211	16	2653307123	0.001594	0.000834
212	16	2653321723	0.000008	0.001586
213	16	2653324643	0.012312	0.012304
214	16	2653334863	0.000779	0.011533
215	16	2653345083	0.004150	0.003371
216	16	2653374283	0.000008	0.004142
217	16	2653388883	0.000007	0.000001
218	16	2653393263	0.000871	0.000864
219	16	2653403483	0.000757	0.000114
220	16	2653413703	0.000756	0.000001
221	16	2653423923	0.001217	0.000461
222	16	2653439983	0.000756	0.000461
223	16	2653448743	0.000757	0.000001
224	16	2653458963	0.000749	0.000008
225	16	2653469183	0.000756	0.000007
226	16	2653496923	0.000757	0.000001
227	16	2653507143	0.000755	0.000002
228	16	2653539263	0.000695	0.000060
229	16	2653559703	0.000083	0.000612
230	17	2303087281	0.015169	0.015169
231	17	2303094666	0.016405	0.001236
232	17	2303097562	0.000806	0.015599
233	17	2303099661	0.008456	0.007650
234	17	2303102569	0.029401	0.020945
235	18	485729500	0.021594	0.021594
236	18	485737971	0.013963	0.007631
237	18	485743593	0.004782	0.009181
238	19	2623285694	0.005967	0.005967
239	20	3665013559	0.021698	0.021698
240	20	3665020633	0.020145	0.001553
241	21	3151331654	0.008268	0.008268
242	21	3151335781	0.001554	0.006714
243	21	3151341166	0.012418	0.010864
244	22	3892989657	0.020481	0.020481
245	23	1123614881	0.005682	0.005682
246	24	1455688199	0.022226	0.022226
247	24	1455688610	0.022501	0.000275
248	25	3038046194	0.044219	0.044219
249	26	1159783070	0.001796	0.001796
250	26	1159786047	0.003385	0.001589
251	27	217387594	0.019667	0.019667
252	28	1520983561	0.003961	0.003961
253	28	1520985146	0.004365	0.000404
254	29	4147408116	0.009302	0.009302
255	29	4147409576	0.000773	0.008529
256	29	4147415168	0.000740	0.000033
257	29	4147421888	0.000746	0.000006
258	29	4147432024	0.000740	0.000006
259	30	2707543858	0.046070	0.046070
260	30	2707545318	0.000746	0.045324
261	30	2707547990	0.002609	0.001863
262	30	2707552086	0.001487	0.001122
263	30	2707553546	0.001568	0.000081
