ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
1	1	24539969	0.000859	0.000859
2	2	2752492701	0.000808	0.000808
3	2	2752503192	0.000738	0.000070
4	2	2752506112	0.000747	0.000009
5	2	2752522212	0.001019	0.000272
6	2	2752528052	0.000750	0.000269
7	2	2752539732	0.001523	0.000773
8	2	2752551412	0.001149	0.000374
9	2	2752564552	0.000829	0.000320
10	2	2752577692	0.000976	0.000147
11	2	2752583532	0.000745	0.000231
12	2	2752589372	0.000771	0.000026
13	2	2752601052	0.000752	0.000019
14	2	2752606892	0.001171	0.000419
15	2	2752624412	0.000741	0.000430
16	2	2752627332	0.000740	0.000001
17	2	2752634632	0.000740	0.000000
18	2	2752643392	0.000741	0.000001
19	2	2752652152	0.000741	0.000000
20	2	2752659452	0.001204	0.000463
21	2	2752671132	0.000773	0.000431
22	2	2752676972	0.000757	0.000016
23	2	2752681352	0.001790	0.001033
24	2	2752688652	0.000052	0.001738
25	2	2752691572	0.001440	0.001388
26	2	2752703252	0.000898	0.000542
27	2	2752710552	0.000797	0.000101
28	2	2752732452	0.000060	0.000737
29	2	2752739752	0.000768	0.000708
30	2	2752745592	0.002323	0.001555
31	2	2752748512	0.203240	0.200917
32	2	2752749064	0.002904	0.200336
33	2	2752761652	0.011090	0.008186
34	2	2752776252	0.001629	0.009461
35	2	2752786472	0.004344	0.002715
36	2	2752801072	0.000015	0.004329
37	2	2752805452	0.001491	0.001476
38	2	2752808372	0.001413	0.000078
39	2	2752809832	0.002944	0.001531
40	2	2752812752	0.247642	0.244698
41	2	2752813304	0.013020	0.234622
42	2	2752825892	0.001845	0.011175
43	2	2752834652	0.000027	0.001818
44	2	2752840492	0.000746	0.000719
45	2	2752847792	0.001186	0.000440
46	2	2752858012	0.001125	0.000061
47	2	2752866772	0.000746	0.000379
48	2	2752872612	0.001917	0.001171
49	2	2752874072	0.001954	0.000037
50	2	2752876992	0.306641	0.304687
51	2	2752877544	0.001913	0.304728
52	2	2752887212	0.000816	0.001097
53	2	2752890132	0.000741	0.000075
54	2	2752895972	0.000828	0.000087
55	2	2752906192	0.000858	0.000030
56	2	2752913492	0.000797	0.000061
57	2	2752920792	0.000752	0.000045
58	2	2752929552	0.000752	0.000000
59	2	2752936852	0.001517	0.000765
60	2	2752938312	0.008840	0.007323
61	2	2752952912	0.000015	0.008825
62	2	2752960212	0.001505	0.001490
63	2	2752964592	0.000756	0.000749
64	2	2752974812	0.000740	0.000016
65	2	2752983572	0.000843	0.000103
66	2	2752992332	0.006646	0.005803
67	2	2753002552	0.002141	0.004505
68	2	2753006932	0.001664	0.000477
69	2	2753021532	0.000022	0.001642
70	2	2753028832	0.001377	0.001355
71	2	2753036132	0.000860	0.000517
72	2	2753046352	0.009646	0.008786
73	2	2753060952	0.000021	0.009625
74	2	2753066792	0.003422	0.003401
75	2	2753081392	0.001157	0.002265
76	2	2753091612	0.003163	0.002006
77	2	2753106212	0.000011	0.003152
78	2	2753122272	0.000013	0.000002
79	2	2753125192	0.039328	0.039315
80	2	2753131032	0.018266	0.021062
81	2	2753145632	0.003746	0.014520
82	2	2753160232	0.004230	0.000484
83	2	2753174832	0.000016	0.004214
84	2	2753177752	0.003880	0.003864
85	2	2753192352	0.000015	0.003865
86	2	2753195272	0.001901	0.001886
87	2	2753205492	0.000760	0.001141
88	2	2753209872	0.000969	0.000209
89	2	2753217172	0.000804	0.000165
90	2	2753227392	0.001292	0.000488
91	2	2753239072	0.000752	0.000540
92	2	2753247832	0.000785	0.000033
93	2	2753253672	0.001320	0.000535
94	2	2753259512	0.001251	0.000069
95	2	2753274112	0.001495	0.000244
96	2	2753278492	0.000759	0.000736
97	2	2753288712	0.000759	0.000000
98	2	2753294552	0.000759	0.000000
99	2	2753298932	0.000759	0.000000
100	2	2753306232	0.000766	0.000007
101	2	2753314992	0.000761	0.000005
102	2	2753323752	0.001159	0.000398
103	2	2753333972	0.000796	0.000363
104	2	2753341272	0.003045	0.002249
105	2	2753355872	0.000015	0.003030
106	2	2753371932	0.000015	0.000000
107	2	2753379232	0.000772	0.000757
108	2	2753385072	0.000773	0.000001
109	2	2753387992	0.001177	0.000404
110	2	2753398212	0.000763	0.000414
111	2	2753405512	0.001131	0.000368
112	2	2753412812	0.000940	0.000191
113	2	2753420112	0.000765	0.000175
114	2	2753424492	0.001390	0.000625
115	2	2753439092	0.000009	0.001381
116	2	2753442012	0.000754	0.000745
117	2	2753452232	0.032505	0.031751
118	2	2753463912	0.037045	0.004540
119	2	2753475592	0.002895	0.034150
120	2	2753490192	0.000049	0.002846
121	2	2753493112	0.005174	0.005125
122	2	2753507712	0.000017	0.005157
123	2	2753510632	0.015265	0.015248
124	2	2753516472	0.039309	0.024044
125	2	2753531072	0.046729	0.007420
126	2	2753545672	0.041322	0.005407
127	2	2753560272	0.000016	0.041306
128	2	2753563192	0.041095	0.041079
129	2	2753577792	0.000025	0.041070
130	2	2753580712	0.001163	0.001138
131	2	2753590932	0.000746	0.000417
132	2	2753595312	0.000743	0.000003
133	2	2753599692	0.000741	0.000002
134	2	2753608452	0.001515	0.000774
135	2	2753623052	0.000752	0.000763
136	2	2753627432	0.000740	0.000012
137	2	2753630352	0.000740	0.000000
138	2	2753639112	0.000739	0.000001
139	2	2753644952	0.001219	0.000480
140	2	2753656632	0.001439	0.000220
141	2	2753662472	0.000020	0.001419
142	2	2753671232	0.000744	0.000724
143	2	2753675612	0.000741	0.000003
144	2	2753684372	0.000741	0.000000
145	2	2753693132	0.000739	0.000002
146	2	2753698972	0.000741	0.000002
147	2	2753707732	0.000739	0.000002
148	2	2753709192	0.001350	0.000611
149	2	2753712112	0.001538	0.000188
150	2	2753716492	0.001487	0.000051
151	2	2753720872	0.002395	0.000908
152	2	2753726712	0.002929	0.000534
153	2	2753735472	0.001477	0.001452
154	2	2753739852	0.000748	0.000729
155	2	2753744232	0.000740	0.000008
156	2	2753748612	0.000741	0.000001
157	2	2753754452	0.000741	0.000000
158	2	2753760292	0.001394	0.000653
159	2	2753771972	0.000757	0.000637
160	2	2753773432	0.006923	0.006166
161	2	2753788032	0.001939	0.004984
162	2	2753796792	0.000180	0.001759
163	2	2753799712	0.000743	0.000563
164	2	2753802632	0.000760	0.000017
165	2	2753808472	0.000743	0.000017
166	2	2753814312	0.000748	0.000005
167	2	2753818692	0.000740	0.000008
168	2	2753824532	0.000740	0.000000
169	2	2753833292	0.000840	0.000100
170	2	2753836212	0.000743	0.000097
171	2	2753837672	0.002022	0.001279
172	2	2753847892	0.000745	0.001277
173	2	2753852272	0.001064	0.000319
174	2	2753859572	0.000746	0.000318
175	2	2753869792	0.000739	0.000007
176	2	2753872712	0.000740	0.000001
177	2	2753880012	0.001454	0.000714
178	2	2753894612	0.000753	0.000701
179	2	2753900452	0.000743	0.000010
180	2	2753901912	0.001492	0.000749
181	2	2753906292	0.001334	0.000158
182	2	2753916512	0.011981	0.010647
183	2	2753931112	0.036427	0.024446
184	2	2753945712	0.000018	0.036409
185	2	2753948632	0.035662	0.035644
186	2	2753963232	0.000019	0.035643
187	2	2753966152	0.033429	0.033410
188	2	2753980752	0.039550	0.006121
189	2	2753995352	0.001276	0.038274
190	2	2753998272	0.001929	0.000653
191	2	2754012872	0.000011	0.001918
192	2	2754015792	0.002355	0.002344
193	2	2754027472	0.000768	0.001587
194	2	2754030392	0.001161	0.000393
195	2	2754044992	0.002008	0.000847
196	2	2754055212	0.000772	0.001236
197	2	2754059592	0.002436	0.001664
198	2	2754074192	0.000007	0.002429
199	2	2754077112	0.001137	0.001130
200	2	2754087332	0.000774	0.000363
201	2	2754094632	0.006029	0.005255
202	2	2754109232	0.033891	0.027862
203	2	2754123832	0.038207	0.004316
204	2	2754138432	0.000016	0.038191
205	2	2754141352	0.037081	0.037065
206	2	2754155952	0.000169	0.036912
207	2	2754158872	0.032178	0.032009
208	2	2754173472	0.035466	0.003288
209	2	2754188072	0.001360	0.034106
210	2	2754190992	0.000641	0.000719
211	2	2754198292	0.000783	0.000142
212	2	2754205592	0.002049	0.001266
213	2	2754220192	0.000017	0.002032
214	2	2754223112	0.001156	0.001139
215	2	2754237712	0.001212	0.000056
216	2	2754247932	0.000741	0.000471
217	2	2754252312	0.000741	0.000000
218	2	2754256692	0.000746	0.000005
219	2	2754266912	0.001249	0.000503
220	2	2754274212	0.000742	0.000507
221	2	2754282972	0.000741	0.000001
222	2	2754285892	0.000745	0.000004
223	2	2754287352	0.034878	0.034133
224	2	2754290272	0.239845	0.204967
225	2	2754290824	0.001624	0.238221
226	2	2754296112	0.001220	0.000404
227	2	2754301952	0.001478	0.000258
228	2	2754306332	0.001620	0.000142
229	2	2754316552	0.001483	0.000137
230	2	2754320932	0.000849	0.000634
231	2	2754328232	0.002979	0.002130
232	2	2754342832	0.001147	0.001832
233	2	2754345752	0.008017	0.006870
234	2	2754351592	0.001160	0.006857
235	2	2754354512	0.241254	0.240094
236	2	2754355064	0.005219	0.236035
237	2	2754357432	0.001223	0.003996
238	2	2754361812	0.003734	0.002511
239	2	2754366192	0.001608	0.002126
240	2	2754372032	0.001510	0.000098
241	2	2754376412	0.001123	0.000387
242	2	2754380792	0.001186	0.000063
243	2	2754388092	0.018165	0.016979
244	2	2754398312	0.046728	0.028563
245	2	2754409992	0.004251	0.042477
246	2	2754415832	0.001670	0.002581
247	2	2754418752	0.001174	0.000496
248	2	2754430432	0.001507	0.000333
249	2	2754434812	0.000895	0.000612
250	2	2754442112	0.000784	0.000111
251	2	2754445032	0.000832	0.000048
252	2	2754450872	0.007273	0.006441
253	2	2754464012	0.001217	0.006056
254	2	2754474232	0.004687	0.003470
255	2	2754478612	0.001679	0.003008
256	2	2754480072	0.002067	0.000388
257	2	2754490292	0.000773	0.001294
258	2	2754493212	0.003479	0.002706
259	2	2754507812	0.001679	0.001800
260	2	2754518032	0.000758	0.000921
261	2	2754522412	0.000758	0.000000
262	2	2754528252	0.000777	0.000019
263	2	2754537012	0.004205	0.003428
264	2	2754542852	0.001521	0.002684
265	2	2754544312	0.001171	0.000350
266	2	2754554532	0.000779	0.000392
267	2	2754557452	0.000761	0.000018
268	2	2754563292	0.000913	0.000152
269	2	2754572052	0.000753	0.000160
270	2	2754577892	0.000986	0.000233
271	2	2754585192	0.000742	0.000244
272	2	2754588112	0.000740	0.000002
273	2	2754596872	0.000771	0.000031
274	2	2754604172	0.000773	0.000002
275	2	2754607092	0.001395	0.000622
276	2	2754608552	0.003919	0.002524
277	2	2754621692	0.034015	0.030096
278	2	2754636292	0.034839	0.000824
279	2	2754650892	0.034323	0.000516
280	2	2754665492	0.000015	0.034308
281	2	2754668412	0.003790	0.003775
282	2	2754672792	0.002109	0.001681
283	2	2754684472	0.000018	0.002091
284	2	2754700532	0.034561	0.034543
285	2	2754715132	0.043782	0.009221
286	2	2754729732	0.000014	0.043768
287	2	2754732652	0.045199	0.045185
288	2	2754737032	0.001262	0.043937
289	2	2754750172	0.003195	0.001933
290	2	2754764772	0.001685	0.001510
291	2	2754772072	0.000761	0.000924
292	2	2754779372	0.000757	0.000004
293	2	2754783752	0.000746	0.000011
294	2	2754788132	0.000746	0.000000
295	2	2754796892	0.001592	0.000846
296	2	2754801272	0.001617	0.000025
297	2	2754804192	0.000850	0.000767
298	2	2754812952	0.000777	0.000073
299	2	2754820252	0.000773	0.000004
300	2	2754826092	0.000831	0.000058
301	2	2754834852	0.000774	0.000057
302	2	2754843612	0.009295	0.008521
303	2	2754853832	0.000796	0.008499
304	2	2754862592	0.005063	0.004267
305	2	2754865512	0.001411	0.003652
306	2	2754868432	0.000021	0.001390
307	2	2754883032	0.002242	0.002221
308	2	2754894712	0.000875	0.001367
309	2	2754897632	0.001891	0.001016
310	2	2754907852	0.000978	0.000913
311	2	2754915152	0.001217	0.000239
312	2	2754922452	0.000742	0.000475
313	2	2754929752	0.006702	0.005960
314	2	2754944352	0.001990	0.004712
315	2	2754954572	0.002939	0.000949
316	2	2754969172	0.002621	0.000318
317	2	2754983772	0.000018	0.002603
318	2	2754986692	0.002079	0.002061
319	2	2754991072	0.096381	0.094302
