序号	时间	流量
1	1	1378
2	2	4348
3	3	1706
4	4	1762
5	5	3618
6	6	1378
7	7	2400
8	8	3326
9	9	1378
10	10	610
11	11	610
12	12	2756
13	13	1378
14	14	1378
15	15	2756
16	16	2900
17	17	1616
18	18	1524
19	19	2012
20	20	978
21	21	1288
22	22	2726
23	23	1378
24	24	1968
25	25	1608
26	26	978
27	27	2366
28	28	3100
29	29	1918
30	30	2176
31	31	1968
32	32	4368
33	33	1424
34	34	1758
35	35	2288
36	36	1040
37	37	1598
38	38	1174
39	39	1938
40	40	1728
41	41	1578
42	42	4476
43	43	2130
44	44	1378
45	45	2326
46	46	3626
47	47	3546
48	48	2654
49	49	1378
50	50	2480
51	51	1318
52	52	2872
53	53	1728
54	54	1762
55	55	2334
56	56	4280
57	57	2728
58	58	19242
59	59	14560
60	60	17400
61	61	18740
62	62	7598
63	63	5370
64	64	3462
65	65	2130
66	66	2000
67	67	27904
68	68	5710
69	69	2304
70	70	994
71	71	610
72	72	2162
73	73	1194
74	74	610
75	75	1852
76	76	1386
77	77	1616
78	78	1524
79	79	2070
80	80	1674
81	81	1390
82	82	2610
83	83	1040
84	84	2136
85	85	5370
86	86	694
87	87	1536
88	88	1174
89	89	610
90	90	610
91	91	814
92	92	1812
93	93	2686
94	94	978
95	95	1358
96	96	1294
97	97	1678
98	98	1604
99	99	1040
100	100	1040
101	101	610
102	102	2140
103	103	610
104	104	610
105	105	1174
106	106	806
107	107	1248
108	108	1802
109	109	994
110	110	3330
111	111	1638
112	112	1920
113	113	3162
114	114	806
115	115	1472
116	116	888
117	117	1248
118	118	896
119	119	888
120	120	938
121	121	610
122	122	1534
123	123	1448
124	124	610
125	125	896
126	126	2392
127	127	1248
128	128	1100
129	129	888
130	130	610
131	131	994
132	132	2302
133	133	888
134	134	610
135	135	1764
136	136	2494
137	137	1616
138	138	896
139	139	1238
140	140	766
141	141	898
142	142	1884
143	143	888
144	144	938
145	145	1442
146	146	888
147	147	1332
148	148	1246
149	149	1292
150	150	1178
151	151	1344
152	152	1534
153	153	2470
154	154	2118
155	155	2570
156	156	2818
157	157	3194
158	158	2896
159	159	1880
160	160	1186
161	161	960
162	162	2062
163	163	888
164	164	960
165	165	1280
166	166	2040
167	167	1782
168	168	1080
169	169	888
170	170	1204
171	171	1062
172	172	1642
173	173	888
174	174	610
175	175	1476
176	176	2148
177	177	1248
178	178	1280
179	179	1088
180	180	938
181	181	842
182	182	1534
183	183	888
184	184	610
185	185	1484
186	186	888
187	187	1932
188	188	896
189	189	1984
190	190	1990
191	191	1102
192	192	2302
193	193	888
194	194	610
195	195	11426
196	196	2468
197	197	1616
198	198	1224
199	199	888
200	200	1678
201	201	1808
202	202	2548
203	203	1318
204	204	1040
205	205	896
206	206	888
207	207	1576
208	208	1748
209	209	1272
210	210	2322
211	211	1378
212	212	2118
213	213	888
214	214	610
215	215	896
216	216	1216
217	217	1678
218	218	1326
219	219	1318
220	220	1040
221	221	814
222	222	1534
223	223	1664
224	224	994
225	225	1408
226	226	888
227	227	1632
228	228	2012
229	229	2352
230	230	610
231	231	1362
232	232	2794
233	233	1472
234	234	938
235	235	1128
236	236	1272
237	237	2400
238	238	1664
239	239	2040
240	240	810
241	241	610
242	242	1534
243	243	1216
244	244	610
245	245	1052
246	246	1244
247	247	1380
248	248	1160
249	249	1468
250	250	950
251	251	610
252	252	1862
253	253	3624
254	254	1306
255	255	1016
256	256	3266
257	257	2388
258	258	6316
259	259	2890
260	260	1178
261	261	2090
262	262	9488
263	263	8422
264	264	1770
265	265	2198
266	266	1656
267	267	2400
268	268	3974
269	269	1740
270	270	2090
271	271	1728
272	272	2302
273	273	3362
274	274	1608
275	275	1630
276	276	2712
277	277	1488
278	278	896
