序号	时间	流量
1	1	25295
2	2	5778
3	3	1264
4	4	5798
5	5	262698
6	6	452994
7	7	435993
8	8	624662
9	9	377458
10	10	496224
11	11	67426
12	12	91978
13	13	377441
14	14	378638
15	15	268608
16	16	220893
17	17	307775
18	18	288308
19	19	273684
20	20	389634
21	21	231651
22	22	450951
23	23	311121
24	24	249580
25	25	178193
26	26	134462
27	27	112107
28	28	254216
29	29	264077
30	30	252545
31	31	129115
32	32	356864
33	33	161484
34	34	349791
35	35	249545
36	36	170701
37	37	155051
38	38	289134
39	39	292042
40	40	100904
41	41	115344
42	42	134977
43	43	184674
44	44	164713
45	45	202673
46	46	385216
47	47	139928
48	48	71753
49	49	144241
50	50	73332
51	51	132839
52	52	76826
53	53	93309
54	54	132607
55	55	160766
56	56	105155
57	57	93073
58	58	74569
59	59	140305
60	60	16391
61	61	146412
62	62	164727
63	63	94036
64	64	137448
65	65	71278
66	66	522383
67	67	272247
68	68	254981
69	69	215311
70	70	284899
71	71	141988
72	72	104663
73	73	115829
74	74	186157
75	75	363845
76	76	341329
77	77	223027
78	78	220779
79	79	128233
80	80	16551
81	81	185386
82	82	130057
83	83	162168
84	84	167234
85	85	160284
86	86	494427
87	87	132017
88	88	226921
89	89	96818
90	90	153386
91	91	142634
92	92	253599
93	93	211153
94	94	155528
95	95	78212
96	96	147174
97	97	71270
98	98	64449
99	99	9086
100	100	20266
