  PSNR-Y       PSNR-U       PSNR-V       MSE-Y        MSE-U        MSE-V        SSIM-Y       SSIM-U       SSIM-V       SSIM-ALL     DMOS         MOS         
  20.83    30.01    36.55    537.61    64.84    14.38    0.50    0.82    0.91    0.62    44.65    55.35  
  20.96    30.00    36.39    520.97    64.97    14.93    0.48    0.82    0.91    0.61    44.65    55.35  
  20.96    30.00    36.42    521.45    64.95    14.84    0.48    0.82    0.91    0.61    44.65    55.35  
  21.14    30.60    36.65    499.59    56.65    14.06    0.49    0.82    0.91    0.61    44.65    55.35  
  21.16    30.73    36.82    498.27    54.94    13.52    0.48    0.83    0.91    0.61    44.65    55.35  
  21.16    30.74    36.79    498.14    54.86    13.63    0.48    0.83    0.91    0.61    44.65    55.35  
  21.04    30.87    36.72    512.06    53.25    13.85    0.47    0.83    0.91    0.61    44.65    55.35  
  20.86    30.71    36.44    533.07    55.26    14.77    0.46    0.82    0.91    0.59    44.65    55.35  
  20.88    30.71    36.47    531.01    55.22    14.67    0.46    0.82    0.91    0.59    44.65    55.35  
  20.42    30.72    36.13    590.49    55.10    15.86    0.45    0.82    0.90    0.58    44.65    55.35  
  20.17    30.58    35.93    625.66    56.96    16.61    0.44    0.82    0.90    0.58    44.65    55.35  
  20.17    30.58    35.95    625.60    56.90    16.50    0.44    0.82    0.90    0.58    44.65    55.35  
  20.17    30.58    35.94    625.71    56.93    16.57    0.44    0.82    0.90    0.58    44.65    55.35  
  20.17    30.58    35.93    625.19    56.95    16.59    0.44    0.82    0.90    0.58    44.65    55.35  
  20.36    30.88    36.36    598.13    53.10    15.04    0.57    0.82    0.90    0.67    44.63    55.37  
  20.36    30.87    36.36    598.60    53.20    15.03    0.57    0.82    0.90    0.67    44.63    55.37  
  20.54    30.89    36.58    573.82    53.00    14.29    0.58    0.82    0.91    0.68    44.61    55.39  
  20.30    31.29    36.59    607.55    48.30    14.25    0.58    0.83    0.90    0.67    44.62    55.38  
  20.07    31.30    36.29    640.52    48.24    15.27    0.55    0.82    0.90    0.65    44.64    55.36  
  20.06    31.30    36.28    640.95    48.25    15.30    0.55    0.82    0.89    0.65    44.64    55.36  
  19.76    31.03    35.89    687.56    51.29    16.75    0.42    0.81    0.88    0.56    44.65    55.35  
  19.70    30.95    35.94    696.28    52.27    16.58    0.38    0.79    0.88    0.53    44.65    55.35  
  19.70    30.94    35.94    696.59    52.38    16.57    0.38    0.79    0.88    0.53    44.65    55.35  
  19.63    30.70    35.82    708.34    55.32    17.01    0.37    0.79    0.88    0.53    44.65    55.35  
  19.59    30.76    35.68    714.65    54.54    17.57    0.38    0.80    0.88    0.53    44.65    55.35  
  19.59    30.76    35.68    714.38    54.55    17.57    0.38    0.80    0.88    0.53    44.65    55.35  
  19.30    30.69    35.41    764.00    55.44    18.71    0.38    0.80    0.87    0.53    44.65    55.35  
  19.18    30.61    35.62    785.08    56.47    17.83    0.37    0.79    0.88    0.53    44.65    55.35  
  19.17    30.63    35.61    786.47    56.22    17.87    0.38    0.79    0.87    0.53    44.65    55.35  
  19.36    30.82    36.01    753.40    53.88    16.28    0.38    0.80    0.89    0.53    44.65    55.35  
  19.36    30.82    36.03    752.88    53.80    16.22    0.38    0.80    0.89    0.53    44.65    55.35  
  19.41    30.87    36.41    744.45    53.16    14.88    0.39    0.81    0.89    0.54    44.65    55.35  
  19.23    31.09    36.40    775.68    50.59    14.90    0.39    0.81    0.90    0.54    44.65    55.35  
  19.25    31.09    36.40    773.59    50.61    14.89    0.39    0.81    0.89    0.54    44.65    55.35  
  19.18    31.21    36.54    786.28    49.26    14.44    0.38    0.81    0.90    0.54    44.65    55.35  
  19.13    31.18    36.57    794.13    49.52    14.34    0.38    0.81    0.90    0.54    44.65    55.35  
  19.14    31.18    36.60    793.42    49.50    14.22    0.38    0.81    0.90    0.54    44.65    55.35  
  19.02    30.92    36.39    815.03    52.57    14.92    0.38    0.81    0.89    0.54    44.65    55.35  
  19.09    30.49    36.03    802.22    58.07    16.21    0.38    0.80    0.89    0.54    44.65    55.35  
  19.09    30.50    36.05    802.08    58.02    16.14    0.38    0.80    0.89    0.54    44.65    55.35  
  19.03    30.51    35.72    813.57    57.83    17.44    0.39    0.80    0.88    0.54    44.65    55.35  
  18.73    30.53    35.61    871.98    57.61    17.89    0.37    0.79    0.87    0.52    44.65    55.35  
  18.73    30.54    35.61    871.50    57.46    17.87    0.37    0.79    0.87    0.52    44.65    55.35  
  18.62    30.81    35.57    894.22    53.99    18.04    0.34    0.78    0.86    0.50    44.65    55.35  
  18.61    30.80    35.56    894.96    54.06    18.08    0.34    0.78    0.86    0.50    44.65    55.35  
  18.61    30.81    35.57    895.45    53.94    18.01    0.34    0.78    0.86    0.50    44.65    55.35  
  18.73    30.77    35.43    871.93    54.40    18.61    0.33    0.78    0.85    0.49    44.65    55.35  
  18.89    30.50    35.15    840.33    57.96    19.85    0.33    0.78    0.85    0.49    44.65    55.35  
  18.89    30.49    35.15    840.28    58.03    19.85    0.33    0.78    0.85    0.49    44.65    55.35  
  19.08    30.28    35.15    804.07    60.95    19.88    0.34    0.78    0.85    0.50    44.65    55.35  
  19.01    30.27    35.24    816.46    61.18    19.46    0.34    0.78    0.85    0.50    44.65    55.35  
  19.01    30.27    35.24    815.83    61.13    19.47    0.34    0.78    0.85    0.50    44.65    55.35  
  19.08    30.21    35.30    804.05    62.00    19.20    0.35    0.78    0.85    0.50    44.65    55.35  
  19.01    30.30    35.24    816.46    60.67    19.48    0.34    0.78    0.85    0.50    44.65    55.35  
  18.98    30.28    35.44    822.38    61.02    18.60    0.35    0.78    0.87    0.51    44.65    55.35  
  18.98    30.30    35.43    823.18    60.70    18.64    0.35    0.78    0.87    0.51    44.65    55.35  
  19.27    30.41    35.63    769.85    59.17    17.78    0.37    0.78    0.87    0.52    44.65    55.35  
  19.27    30.42    35.64    769.31    59.04    17.74    0.37    0.78    0.87    0.52    44.65    55.35  
  19.49    30.47    35.67    730.89    58.39    17.63    0.38    0.79    0.87    0.53    44.65    55.35  
  19.66    30.44    35.88    703.12    58.76    16.78    0.39    0.80    0.88    0.54    44.65    55.35  
  19.66    30.45    35.87    702.72    58.67    16.83    0.39    0.80    0.88    0.54    44.65    55.35  
  19.70    30.39    35.88    696.65    59.39    16.79    0.43    0.80    0.88    0.57    44.65    55.35  
  20.05    30.69    36.11    643.47    55.47    15.92    0.47    0.80    0.88    0.59    44.65    55.35  
  20.04    30.68    36.12    644.04    55.57    15.91    0.47    0.80    0.88    0.59    44.65    55.35  
  20.31    31.09    36.24    604.85    50.54    15.44    0.50    0.81    0.89    0.61    44.65    55.35  
  20.23    31.35    36.44    616.76    47.65    14.76    0.51    0.81    0.89    0.62    44.65    55.35  
  19.76    31.56    36.64    686.88    45.35    14.10    0.50    0.82    0.90    0.62    44.65    55.35  
  19.77    31.57    36.61    686.37    45.35    14.18    0.50    0.82    0.90    0.62    44.65    55.35  
  19.72    31.93    37.14    694.28    41.69    12.56    0.48    0.83    0.91    0.61    44.65    55.35  
  19.71    31.93    37.15    695.66    41.67    12.54    0.48    0.83    0.91    0.61    44.65    55.35  
  19.64    31.93    37.10    706.78    41.65    12.69    0.45    0.83    0.91    0.59    44.65    55.35  
  19.33    31.33    36.85    758.38    47.87    13.43    0.42    0.82    0.90    0.57    44.65    55.35  
  19.33    31.33    36.84    759.04    47.83    13.47    0.42    0.82    0.90    0.57    44.65    55.35  
  19.04    31.06    36.46    811.23    50.93    14.70    0.42    0.81    0.89    0.56    44.65    55.35  
  18.79    30.91    36.22    858.53    52.78    15.54    0.41    0.80    0.89    0.56    44.65    55.35  
  18.79    30.91    36.23    858.37    52.72    15.50    0.41    0.80    0.89    0.56    44.65    55.35  
  18.63    30.90    35.89    891.98    52.82    16.74    0.41    0.80    0.88    0.56    44.65    55.35  
  18.63    30.91    35.90    891.87    52.78    16.73    0.41    0.80    0.88    0.56    44.65    55.35  
  18.24    30.44    35.40    975.71    58.77    18.77    0.41    0.78    0.87    0.55    44.65    55.35  
  18.18    29.87    35.00    989.83    66.97    20.56    0.40    0.79    0.87    0.55    44.65    55.35  
  18.18    29.87    35.00    989.83    67.04    20.58    0.40    0.79    0.87    0.55    44.65    55.35  
  18.00    29.51    34.85    1030.18    72.82    21.27    0.39    0.78    0.87    0.54    44.65    55.35  
  17.99    29.70    34.88    1033.54    69.67    21.13    0.39    0.77    0.87    0.53    44.65    55.35  
  18.12    29.98    35.23    1002.97    65.30    19.49    0.38    0.78    0.87    0.53    44.65    55.35  
  18.11    29.98    35.24    1003.85    65.27    19.46    0.38    0.78    0.87    0.53    44.65    55.35  
  18.18    30.42    35.52    988.73    58.99    18.24    0.38    0.79    0.87    0.53    44.65    55.35  
  18.07    30.61    35.69    1014.17    56.48    17.55    0.39    0.78    0.87    0.54    44.65    55.35  
  18.07    30.62    35.70    1014.02    56.41    17.49    0.39    0.78    0.87    0.54    44.65    55.35  
  18.28    30.77    35.80    966.23    54.48    17.10    0.40    0.79    0.87    0.54    44.65    55.35  
  18.54    30.74    35.81    909.63    54.88    17.07    0.42    0.79    0.87    0.56    44.65    55.35  
  18.54    30.73    35.83    909.34    54.93    16.98    0.42    0.79    0.87    0.56    44.65    55.35  
  18.58    30.71    35.69    901.56    55.24    17.55    0.43    0.79    0.87    0.57    44.65    55.35  
