时间戳(s)	实时流量(Bytes)	累积流量(Bytes)
1	316478	316478
2	316477	316478
3	316476	316478
4	316475	316478
5	316474	316478
6	316473	316478
7	316472	316478
8	316471	316478
9	316470	316478
1	316469	316478
2	316468	316478
3	316466	316478
4	316462	316478
5	316455	316478
6	316444	316479
7	316427	316482
8	316401	316487
9	316363	316495
1	316308	316508
2	316230	316528
3	316122	316557
4	315976	316597
5	315783	316652
6	315531	316726
7	315209	316824
8	314803	316951
9	314299	317112
1	313682	317315
2	312936	317565
3	312046	317871
4	310996	318240
5	309771	318680
6	308356	319198
7	306739	319803
8	304907	320503
9	302851	321306
1	300563	322219
2	298038	323248
3	295272	324400
4	292266	325679
5	289023	327091
6	285548	328638
7	281849	330324
8	277936	332149
9	273823	334113
1	269525	336214
2	265059	338450
3	260444	340818
4	255699	343312
5	250846	345926
6	245907	348652
7	240904	351483
8	235860	354409
9	230797	357419
1	225736	360502
2	220697	363647
3	215700	366842
4	210764	370076
5	205907	373337
6	201147	376613
7	196498	379892
8	191973	383161
9	187582	386407
1	183333	389619
2	179234	392788
3	175293	395906
4	171516	398967
5	167911	401963
6	164481	404886
7	161226	407725
8	158142	410470
9	155221	413116
1	152461	415664
2	149861	418117
3	147426	420479
4	145158	422749
5	143056	424922
6	141112	426987
7	139310	428933
8	137624	430752
9	136039	432461
1	134562	434087
2	133211	435651
3	132004	437155
4	130941	438585
5	130003	439913
6	129157	441113
7	128353	442171
8	127534	443092
9	126718	443989
1	126011	444933
2	125477	445914
3	125124	446868
4	124890	447704
5	124684	448348
6	124408	448777
7	123955	449021
8	123238	449169
9	122581	449755
1	122436	450690
2	122703	451633
3	123166	452306
4	123493	452513
5	123470	452242
6	122978	451677
7	121871	451057
8	120139	450708
9	119764	452943
1	121697	455177
2	123637	456068
3	124911	455584
4	124712	453854
5	123303	451610
6	120947	449810
7	117393	448922
8	113168	449610
9	118232	462143
1	129403	464337
2	131376	459827
3	129990	453813
4	123903	447077
5	117658	442754
6	111517	442711
7	103170	445454
8	96263	452431
9	138485	512333
1	174083	473162
2	139266	441825
3	124444	429787
4	99555	420157
5	92676	425485
6	86952	442558
7	69782	456438
8	68636	480353
9	307375	751951
